五十音,曲名,アーティスト名,ジャンル,楽曲使用
ア,Absolute5,ワルキューレ,アニメソング.マクロス,マクロスΔ
ア,adrenaline!!!,TrySail,アニメソング,エロマンガ先生
ア,ALIVE～祈りの唄～,ワルキューレ,アニメソング.マクロス,劇場版マクロスΔ
ア,ANGELUS -アンジェラス-,島谷ひとみ,アニメソング,犬夜叉
ア,ANIMA,ReoNa,アニメソング,ソードアート・オンライン
ア,AXIA～ダイスキでダイキライ～,ワルキューレ,アニメソング.マクロス,マクロスΔ
ア,I can't stop my love for you♥,愛内里菜,アニメソング,名探偵コナン
ア,I'll be the one,HΛL,アニメソング,ヒカルの碁
ア,irony,ClariS,アニメソング,俺の妹がこんなに可愛いわけがない
ア,unlasting,LiSA,アニメソング,ソードアート・オンライン
ア,unravel,TK from 凛として時雨,アニメソング,東京喰種(トーキョーグール)
ア,アイネクライネ,米津玄師,,
ア,アイノカタチ,MISIA,,ドラマ 義母と娘のブルース
ア,アイのシナリオ,CHiCO,アニメソング,まじっく快斗1412
ア,アイマイモコ,水瀬いのり,アニメソング,徒然チルドレン
ア,アイモ,ランカ・リー(中島愛),アニメソング.マクロス,マクロスF
ア,アイラビューアイニジュー,KEI,ボカロ,
ア,アイロニ,すこっぷ,ボカロ,
ア,アゲハ蝶,ポルノグラフィティ,,
ア,アザトカワイイ,日向坂46,,
ア,あなたがいることで,Uru,,
ア,あなたに逢いたくて ～Missing You～,松田聖子,,
ア,アナタノオト,ランカ・リー(中島愛),アニメソング.マクロス,マクロスF
ア,アニマル,DECO*27,ボカロ,
ア,ありがとう,いきものがかり,,ドラマ ゲゲゲの女房
ア,あわてんぼうのサンタクロース,"坂田おさむ,神崎ゆう子",,
ア,あんなに一緒だったのに,See-Saw,アニメソング,機動戦士ガンダムSEED
ア,アンパンマンのマーチ,ドリーミング,アニメソング,アンパンマン
ア,亜麻色の髪の乙女,島谷ひとみ,,
ア,愛・おぼえていますか,飯島真理,アニメソング.マクロス,超時空要塞マクロス
ア,愛してる,ワルキューレ,アニメソング.マクロス,劇場版マクロスΔ
ア,愛してるばんざーい!,μ's,アニメソング,ラブライブ！
ア,愛のうた,倖田來未,,
ア,愛のうた,ストロベリー・フラワー,,CM ピクミン
ア,愛の戦士,石田燿子,アニメソング,美少女戦士セーラームーン
ア,愛をこめて花束を,Superfly,,ドラマ エジソンの母
ア,愛言葉,DECO*27,ボカロ,
ア,茜色の約束,いきものがかり,,
ア,雨とカプチーノ,ヨルシカ,,
ア,会いたい,シグナルP,ボカロ,
ア,会いたくて,Ado,,かぐや様は告らせたい 実写版
ア,会いたくて 会いたくて,西野カナ,,
ア,甘い気持ちまるかじり,大塚愛,,
ア,甘えんぼ,大塚愛,,
ア,紅一葉,黒うさP,ボカロ,
ア,青いベンチ,サスケ,,
ア,青い珊瑚礁,松田聖子,,
ア,青のじゅもん,Kiroro,,
ア,青空 Jumping Heart,Aqours,アニメソング,ラブライブ！
ア,青空のラプソディ,fhana,アニメソング,小林さんちのメイドラゴン
ア,赤いスイートピー,松田聖子,,
ア,赤い糸,コブクロ,,
ア,赤鼻のトナカイ,クリスマスソング,,
ア,蒼のエーテル,ランカ・リー(中島愛),アニメソング.マクロス,マクロスF
ア,天城越え,石川さゆり,,
ア,歩いていこう！,東山奈央,アニメソング,恋する小惑星(アステロイド)
ア,明け星,LiSA,アニメソング,鬼滅の刃
ア,明日への手紙,手嶌葵,,いつかこの恋を思い出してきっと泣いてしまう(ドラマ)
ア,鳴呼、素晴らしきニャン生,Nem,ボカロ,
イ,1925,冨田悠斗(とみー/T-POCKET),ボカロ,
イ,INNOCENCE,藍井エイル,アニメソング,ソードアート・オンライン
イ,Yeah! めっちゃホリディ,松浦亜弥,,
イ,Yes! Party Time!!,"島村卯月,渋谷凛,本田未央,赤城みりあ,安部菜々",アニメソング,アイドルマスター
イ,いい日旅立ち,山口 百恵,,
イ,イェイ!イェイ!イェイ!,吉田仁美,アニメソング,プリキュアオールスターズ
イ,イエスタデイ,Official髭男dism,アニメソング,HELLO WORLD
イ,いけないボーダーライン,ワルキューレ,アニメソング.マクロス,マクロスΔ
イ,いつだって僕らは,いきものがかり,,
イ,いつも何度でも,木村弓,アニメソング,千と千尋の神隠し
イ,いろは唄,銀サク,ボカロ,
イ,インフィニティ,シェリル・ノーム(May'n),アニメソング.マクロス,マクロスF
イ,いーあるふぁんくらぶ,みきとP,ボカロ,
イ,以心電信,ORANGE RANGE,,
イ,異邦人,久保田早紀,,
イ,一度だけの恋なら,ワルキューレ,アニメソング.マクロス,マクロスΔ
イ,一番の宝物,Girls Dead Monster,アニメソング,Angel Beats!
イ,今好きになる。,HoneyWorks,,
イ,射手座☆午後九時 Don't be late,シェリル・ノーム(May'n),アニメソング.マクロス,マクロスF
イ,十六夜涙,吉岡亜衣加,アニメソング,薄桜鬼
イ,生きてこそ,Kiroro,アニメソング,甲虫王者ムシキング
ウ,Winter Bells,倉木麻衣,アニメソング,名探偵コナン
ウ,Winter Love,BoA,,
